ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
3;Macrotipo;MT;3;2;3;102924;D33;B
3;Macrotipo;MT;3;2;4;45554;D22;C
3;Macrotipo;MT;3;2;5;45551;D5;D
3;Macrotipo;MT;3;2;6;70457;D19;E
3;Macrotipo;MT;9;2;7;109873;D2;D
3;Macrotipo;MT;9;2;8;109872;D29;A
3;Macrotipo;MT;9;2;9;46114;D22;A
3;Macrotipo;MT;3;2;10;110713;D31;B
3;Macrotipo;MT;3;2;11;109698;D30;D
3;Macrotipo;MT;3;2;12;102826;D16;D
3;Macrotipo;MT;3;2;13;22317;D2;D
3;Prova Regular;MT;3;1;1;111355;D34;E
3;Prova Regular;MT;3;1;2;28613;D2;B
3;Prova Regular;MT;3;1;3;110117;D12;C
3;Prova Regular;MT;3;1;4;22365;D21;D
3;Prova Regular;MT;3;1;5;45554;D22;C
3;Prova Regular;MT;3;1;6;28611;D5;D
3;Prova Regular;MT;9;1;7;111022;D37;B
3;Prova Regular;MT;9;1;8;111140;D33;D
3;Prova Regular;MT;9;1;9;110754;D4;A
3;Prova Regular;MT;3;1;10;110658;D25;C
3;Prova Regular;MT;3;1;11;102826;D16;D
3;Prova Regular;MT;3;1;12;111009;D28;C
3;Prova Regular;MT;3;1;13;102835;D8;A
3;Prova Regular;MT;3;2;1;111074;D35;D
3;Prova Regular;MT;3;2;2;102842;D12;A
3;Prova Regular;MT;3;2;3;110696;D21;C
3;Prova Regular;MT;3;2;4;45526;D34;E
3;Prova Regular;MT;3;2;5;22197;D4;D
3;Prova Regular;MT;3;2;6;66305;D11;B
3;Prova Regular;MT;9;2;7;111299;D33;D
3;Prova Regular;MT;9;2;8;110417;D28;A
3;Prova Regular;MT;9;2;9;34936;D9;C
3;Prova Regular;MT;3;2;10;111209;D17;C
3;Prova Regular;MT;3;2;11;110012;D32;B
3;Prova Regular;MT;3;2;12;102875;D5;C
3;Prova Regular;MT;3;2;13;110612;D16;A
3;Prova Regular;MT;3;3;1;110739;D35;A
3;Prova Regular;MT;3;3;2;109594;D15;C
3;Prova Regular;MT;3;3;3;111281;D2;B
3;Prova Regular;MT;3;3;4;70455;D19;A
3;Prova Regular;MT;3;3;5;28009;D3;E
3;Prova Regular;MT;3;3;6;70488;D14;C
3;Prova Regular;MT;9;3;7;111359;D34;A
3;Prova Regular;MT;9;3;8;67422;D14;A
3;Prova Regular;MT;9;3;9;46383;D21;A
3;Prova Regular;MT;3;3;10;111349;D18;C
3;Prova Regular;MT;3;3;11;110750;D26;D
3;Prova Regular;MT;3;3;12;110398;D24;B
3;Prova Regular;MT;3;3;13;102909;D21;E
3;Prova Regular;MT;3;4;1;111377;D35;C
3;Prova Regular;MT;3;4;2;65843;D18;B
3;Prova Regular;MT;3;4;3;66020;D31;A
3;Prova Regular;MT;3;4;4;22314;D23;A
3;Prova Regular;MT;3;4;5;29891;D20;D
3;Prova Regular;MT;3;4;6;47239;D15;B
3;Prova Regular;MT;9;4;7;22358;D16;C
3;Prova Regular;MT;9;4;8;112292;D24;A
3;Prova Regular;MT;9;4;9;110174;D3;D
3;Prova Regular;MT;3;4;10;111020;D24;E
3;Prova Regular;MT;3;4;11;109864;D13;C
3;Prova Regular;MT;3;4;12;110554;D25;D
3;Prova Regular;MT;3;4;13;103177;D32;B
3;Prova Regular;MT;3;5;1;111038;D34;C
3;Prova Regular;MT;3;5;2;110758;D29;E
3;Prova Regular;MT;3;5;3;109698;D30;D
3;Prova Regular;MT;3;5;4;22311;D35;E
3;Prova Regular;MT;3;5;5;45551;D5;D
3;Prova Regular;MT;3;5;6;70457;D19;E
